STT;Ma nganh;SBD;NV;Xep hang;Khoi xet tuyen;Diem uu tien;Diem uu tien quy doi;Diem KK;Tong diem
261;D110105;TLA012167;2;254;A1;0;0;0;21
262;D110105;TLA014355;2;254;D1;0;0;0;21
263;D110105;TND000473;4;254;A;1,5;1,5;0;21
264;D110105;SPH002411;1;264;A1;0;0;0;20,75
265;D110105;TLA006812;4;264;D1;2;2;0;20,75
266;D110105;TND003598;2;264;A;1,5;1,5;0;20,75
267;D110105;BKA013434;2;267;D1;0;0;0;20,5
268;D110105;HVN002609;1;267;A1;0,5;0,5;0;20,5
269;D110105;TLA005591;1;267;A;0;0;0;20,5
270;D110105;YTB019794;2;267;A;1;1;0;20,5
271;D110105;DCN006817;1;271;A;0;0;0;20,25
272;D110105;HDT024110;1;271;A;3,5;3,5;0;20,25
273;D110105;TDV006744;1;271;A;1,5;1,5;0;20,25
274;D110105;BKA002381;1;274;D1;0;0;0;20
275;D110105;HVN005649;3;274;D1;0,5;0,5;0;20
276;D110105;KHA006720;2;274;D1;0;0;0;20
277;D110105;THP006029;4;277;A;0,5;0,5;0;19,75
278;D110106;SPH008232;3;1;A;3,5;3,5;0;28
279;D110106;TLA001766;3;2;A;0;0;0;26,5
280;D110106;HHA000318;4;3;A;0;0;0;25,75
281;D110106;YTB005324;4;3;A;0,5;0,5;0;25,75
282;D110106;HDT023488;4;5;A;1;1;0;25,5
283;D110106;LNH002315;3;5;A;3,5;3,5;0;25,5
284;D110106;SPH008331;4;5;A;1,5;1,5;0;25,5
285;D110106;SPH014823;4;5;A;0,5;0,5;0;25,5
286;D110106;TDV022484;4;5;A;2;2;0;25,5
287;D110106;HDT013471;3;10;A;1,5;1,5;0;25,25
288;D110106;HVN005807;4;10;A;1;1;0;25,25
289;D110106;TDV012829;4;10;A;1;1;0;25,25
290;D110106;LNH008485;1;13;A;0,5;0,5;0;25
291;D110106;YTB000893;3;13;A;1;1;0;25
292;D110106;BKA008413;3;15;B;0,5;0,5;0;24,75
293;D110106;HDT009390;3;15;A;1;1;0;24,75
294;D110106;KQH009566;2;15;A;0,5;0,5;0;24,75
295;D110106;TDV023914;3;15;B;0,5;0,5;0;24,75
296;D110106;HHA002141;4;19;A;1,5;1,5;0;24,5
297;D110106;HHA015225;4;19;A;1,5;1,5;0;24,5
298;D110106;LNH001114;2;19;A;0,5;0,5;0;24,5
299;D110106;THP004238;4;19;A;1;1;0;24,5
300;D110106;YTB006760;1;19;A;1;1;0;24,5
301;D110106;HHA003776;3;24;A1;0;0;0;24,25
302;D110106;TDV021309;3;24;A1;1;1;0;24,25
303;D110106;THP000794;1;24;A;1;1;0;24,25
304;D110106;THP001131;3;24;A;1;1;0;24,25
305;D110106;YTB016315;4;24;A;1;1;0;24,25
306;D110106;DCN000179;3;29;A;0,5;0,5;0;24
307;D110106;DCN007940;1;29;D1;1;1;0;24
308;D110106;HDT024248;2;29;A;1,5;1,5;0;24
309;D110106;HVN001707;1;29;A;1;1;0;24
310;D110106;HVN008945;3;29;A;1;1;0;24
311;D110106;KQH000575;4;29;A;0,5;0,5;0;24
312;D110106;THV006156;4;29;A;1,5;1,5;0;24
313;D110106;TLA010047;4;29;A;0;0;0;24
314;D110106;TND000031;4;29;A;1,5;1,5;0;24
315;D110106;TND017985;3;29;A;3,5;3,5;0;24
316;D110106;TND019234;2;29;A;3,5;3,5;0;24
317;D110106;YTB017661;2;29;A;1;1;0;24
318;D110106;YTB023235;2;29;D1;0,5;0,5;0;24
319;D110106;BKA004472;4;42;A;1;1;0;23,75
320;D110106;BKA010587;2;42;A;1;1;0;23,75
321;D110106;HDT029023;4;42;A;1;1;0;23,75
322;D110106;HDT029100;4;42;A;1,5;1,5;0;23,75
323;D110106;HHA011186;3;42;D1;0;0;0;23,75
324;D110106;KHA008231;2;42;A;0;0;0;23,75
325;D110106;LNH002426;4;42;A;3,5;3,5;0;23,75
326;D110106;SPH013647;3;42;A;0,5;0,5;0;23,75
327;D110106;SPH019665;2;42;D1;0;0;0;23,75
328;D110106;TDV007356;3;42;D1;0,5;0,5;0;23,75
329;D110106;TDV011331;2;42;A;1,5;1,5;0;23,75
330;D110106;THP000611;4;42;A;1;1;0;23,75
331;D110106;TLA005644;4;42;A;0,5;0,5;0;23,75
332;D110106;YTB023232;3;42;A;1;1;0;23,75
333;D110106;KHA005202;4;56;A;1,5;1,5;0;23,5
334;D110106;KHA010467;1;56;D1;0;0;0;23,5
335;D110106;KQH004149;2;56;D1;1;1;0;23,5
336;D110106;KQH004325;3;56;A1;0,5;0,5;0;23,5
337;D110106;KQH004793;3;56;A;0,5;0,5;0;23,5
338;D110106;LNH004652;4;56;A;1,5;1,5;0;23,5
